PRECINCT,REG17,BALLOTS17,CRANLEY,SIMPSON,TOTMAY,P_CRANLEY,P_SIMPSON,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
0101 CIN 1-A,291,89,78,7,85,0.917647059,0.082352941,0.002604167,0.973958333,0.005208333,0.002604167,0.0078125,0,0,0.0078125,0.004968944,0.01863354,0.962732919
0102 CIN 1-B,1226,596,433,146,579,0.747841105,0.252158895,0.021433851,0.915742794,0.031042129,0.000739098,0.019216556,0,0.001478197,0.010347376,0.057357897,0.025066416,0.813669251
0103 CIN 1-C,1438,508,353,140,493,0.716024341,0.283975659,0.00983405,0.911493546,0.057160418,0.000614628,0.007990166,0,0,0.012907191,0.034410839,0.076735426,0.854157224
0104 CIN 1-D,743,215,152,61,213,0.713615023,0.286384977,0.014814815,0.828148148,0.127407407,0.002962963,0.019259259,0,0,0.007407407,0.018364373,0.12395811,0.849075742
0105 CIN 1-E,1147,366,249,107,356,0.699438202,0.300561798,0.022288262,0.848439822,0.095839525,0.000742942,0.017087667,0,0.000742942,0.014858841,0.012143202,0.163357809,0.78966897
0106 CIN 1-F,1142,519,376,122,498,0.75502008,0.24497992,0.0089141,0.923014587,0.035656402,0,0.018638574,0,0,0.013776337,0.005644496,0.015063258,0.96423939
0107 CIN 1-G,671,261,166,86,252,0.658730159,0.341269841,0.022727273,0.866477273,0.080965909,0.001420455,0.004261364,0,0,0.024147727,0.047692455,0.104615636,0.816923025
0108 CIN 1-H,658,239,166,65,231,0.718614719,0.281385281,0.026143791,0.910130719,0.019607843,0,0.032679739,0,0,0.011437908,0.007272727,0.032727273,0.945454545
0109 CIN 1-I,1079,461,324,119,443,0.731376975,0.268623025,0.019607843,0.928921569,0.035130719,0,0.005718954,0,0.000816993,0.009803922,0.012185352,0.047605822,0.881891811
0110 CIN 1-J,1201,409,292,107,399,0.731829574,0.268170426,0.014307229,0.934487952,0.023343373,0.003012048,0.014307229,0,0,0.010542169,0.009540883,0.018151461,0.95809305
