PRECINCT,ALFRED,CARTER,HAGEN,TOTVOTE,P_ALFRED,P_CARTER,P_HAGEN,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
00 001,75,56,153,284,0.264084507,0.197183099,0.538732394,0.04888889,0.68444444,0.23555556,0.00888889,0.00825397,0.00063492,0,0.01333333,0.01321625,0.31035195,0.6310204
00 004,257,87,215,559,0.459749553,0.155635063,0.384615385,0.026245313,0.836100696,0.106052491,0.013926085,0.006963042,0,0,0.010712373,0.008351775,0.090853585,0.768421547
00 005,129,178,131,438,0.294520548,0.406392694,0.299086758,0.021327014,0.465244866,0.488941548,0.015797788,0.003159558,0,0,0.005529226,0.018896011,0.375245591,0.591113556
00 007,107,296,147,550,0.194545455,0.538181818,0.267272727,0.025925926,0.401851852,0.522685185,0.022222222,0.011111111,0.000462963,0,0.015740741,0.024907696,0.383999084,0.537895803
00 008,146,89,275,510,0.28627451,0.174509804,0.539215686,0.021352313,0.743179122,0.192170819,0.026690391,0.002372479,0,0.00059312,0.013641756,0.038118156,0.170166927,0.722241528
00 009,56,36,83,175,0.32,0.205714286,0.474285714,0.013931889,0.767801858,0.187306502,0.013931889,0.003095975,0,0,0.013931889,0.018018018,0.225225225,0.765765766
00 010,207,92,252,551,0.375680581,0.166969147,0.457350272,0.026996625,0.790213723,0.128233971,0.030371204,0.009561305,0.00056243,0.001124859,0.012935883,0.015156129,0.237484254,0.735623889
00 011,167,72,288,527,0.316888046,0.136622391,0.546489564,0.1,0.777777778,0.071497585,0.042028986,0.000483092,0,0.000483092,0.007729469,0.038358977,0.069011498,0.797326546
00 012,165,58,279,502,0.328685259,0.115537849,0.555776892,0.034233048,0.863726136,0.045424621,0.019749835,0.02764977,0,0,0.00921659,0.028824834,0.059866962,0.853658537
00 013,42,26,93,161,0.260869565,0.161490683,0.577639752,0.047904192,0.814371257,0.080838323,0.040419162,0.001497006,0,0,0.01497006,0,0,1
00 014,419,74,581,1074,0.390130354,0.068901304,0.540968343,0.021052632,0.906766917,0.042606516,0.00802005,0.017042607,0,0.001503759,0.003007519,0.016266008,0.160166679,0.780750186
00 015,159,55,292,506,0.314229249,0.108695652,0.577075099,0.027820711,0.884853168,0.058732612,0.01236476,0.013137558,0.000772798,0,0.002318393,0.013399746,0.054068343,0.858633464
00 016,174,50,257,481,0.361746362,0.103950104,0.534303534,0.029328288,0.784295175,0.108798486,0.008514664,0.066225166,0,0,0.002838221,0.013374062,0.053611167,0.858949713
00 017,137,35,187,359,0.381615599,0.097493036,0.520891365,0.018472906,0.947044335,0.007389163,0.017241379,0.006157635,0,0,0.003694581,0.057506368,0.113786408,0.784575554
00 018,177,65,237,479,0.369519833,0.135699374,0.494780793,0.03145917,0.815930388,0.118473896,0.016064257,0.013386881,0,0,0.004685408,0.039435099,0.115087392,0.814763751
00 019,176,61,241,478,0.368200837,0.127615063,0.5041841,0.040165387,0.757235676,0.156526875,0.023036031,0.012404017,0.001772002,0.001181335,0.007678677,0.074683086,0.06848206,0.83679903
00 020,87,87,156,330,0.263636364,0.263636364,0.472727273,0.064189189,0.588963964,0.293355856,0.031531532,0.006756757,0.000563063,0,0.01463964,0.03032112,0.371928803,0.496044042
00 021,83,28,128,239,0.347280335,0.117154812,0.535564854,0.038461538,0.820512821,0.090909091,0.031468531,0.008158508,0,0.002331002,0.008158508,0.006102729,0.048597254,0.917527528
