PRECINCT,ALFRED,CARTER,HAGEN,TOTVOTE,P_ALFRED,P_CARTER,P_HAGEN,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP,P_VAP
00 001,100.2039595,69.38246492,190.5965408,360.1829653,0.278202939,0.192631167,0.529165894,0.04888889,0.68444444,0.23555556,0.00888889,0.00825397,0.00063492,0,0.01333333,0.01321625,0.31035195,0.6310204,0.019036223
00 004,286.8766936,102.8635314,259.5668202,649.3070452,0.441819777,0.158420476,0.399759747,0.026245313,0.836100696,0.106052491,0.013926085,0.006963042,0,0,0.010712373,0.008351775,0.090853585,0.768421547,0.022565479
00 005,149.2591827,188.7569528,161.2204576,499.2365931,0.298974844,0.37809118,0.322933975,0.021327014,0.465244866,0.488941548,0.015797788,0.003159558,0,0,0.005529226,0.018896011,0.375245591,0.591113556,0.015301498
00 007,141.5654302,314.3530947,198.5609703,654.4794953,0.216302315,0.480310074,0.303387611,0.025925926,0.401851852,0.522685185,0.022222222,0.011111111,0.000462963,0,0.015740741,0.024907696,0.383999084,0.537895803,0.02610682
00 008,172.9802386,103.3256101,315.2462018,591.5520505,0.292417613,0.17466867,0.532913717,0.021352313,0.743179122,0.192170819,0.026690391,0.002372479,0,0.00059312,0.013641756,0.038118156,0.170166927,0.722241528,0.020377824
00 009,66.33762404,41.48893482,98.42054945,206.2471083,0.321641475,0.201161292,0.477197233,0.013931889,0.767801858,0.187306502,0.013931889,0.003095975,0,0,0.013931889,0.018018018,0.225225225,0.765765766,0.007807873
00 010,235.4524699,107.107316,294.4423172,637.002103,0.369625891,0.168142798,0.462231311,0.026996625,0.790213723,0.128233971,0.030371204,0.009561305,0.00056243,0.001124859,0.012935883,0.015156129,0.237484254,0.735623889,0.021489781
00 011,200.125204,89.58838246,337.4125965,627.126183,0.319114732,0.142855433,0.538029835,0.1,0.777777778,0.071497585,0.042028986,0.000483092,0,0.000483092,0.007729469,0.038358977,0.069011498,0.797326546,0.025019036
00 012,189.3078188,70.90664394,315.2597749,575.4742376,0.328959676,0.12321428,0.547826044,0.034233048,0.863726136,0.045424621,0.019749835,0.02764977,0,0,0.00921659,0.028824834,0.059866962,0.853658537,0.01835938
00 013,52.68967935,31.67586449,108.9457075,193.3112513,0.272563956,0.163859394,0.56357665,0.047904192,0.814371257,0.080838323,0.040419162,0.001497006,0,0,0.01497006,0,0,1,0.008073776
00 014,450.9250154,90.95112223,628.6222851,1170.498423,0.385241882,0.0777029,0.537055217,0.021052632,0.906766917,0.042606516,0.00802005,0.017042607,0,0.001503759,0.003007519,0.016266008,0.160166679,0.780750186,0.024112549
00 015,179.7072531,65.99486324,322.8888405,568.5909569,0.316057178,0.116067381,0.567875441,0.027820711,0.884853168,0.058732612,0.01236476,0.013137558,0.000772798,0,0.002318393,0.013399746,0.054068343,0.858633464,0.015639919
00 016,190.9146573,58.9811209,282.2314563,532.1272345,0.358776332,0.11084026,0.530383408,0.029328288,0.784295175,0.108798486,0.008514664,0.066225166,0,0,0.002838221,0.013374062,0.053611167,0.858949713,0.012775421
00 017,149.9940414,41.89940414,206.3831055,398.276551,0.376607764,0.105201785,0.518190451,0.018472906,0.947044335,0.007389163,0.017241379,0.006157635,0,0,0.003694581,0.057506368,0.113786408,0.784575554,0.009814231
00 018,200.9077559,77.69422387,272.6630045,551.2649842,0.364448608,0.140938072,0.494613321,0.03145917,0.815930388,0.118473896,0.016064257,0.013386881,0,0,0.004685408,0.039435099,0.115087392,0.814763751,0.018057217
